CodigoInterno;Lote;Tipo_Contendor;Distrito;Cantidad
181193;TRES;RESTO;VILLA DE VALLECAS;1;
181843;TRES;RESTO;VILLA DE VALLECAS;1;
178948;TRES;RESTO;VILLA DE VALLECAS;1;
181864;TRES;RESTO;VILLA DE VALLECAS;1;
181872;TRES;RESTO;PUENTE DE VALLECAS;1;
180516;TRES;RESTO;PUENTE DE VALLECAS;1;
182476;TRES;ENVASES;VILLAVERDE;1;
182477;TRES;ENVASES;USERA;1;
183366;TRES;ENVASES;PUENTE DE VALLECAS;1;
183367;TRES;ENVASES;PUENTE DE VALLECAS;1;
183370;TRES;ENVASES;CARABANCHEL;1;
182478;TRES;ENVASES;CARABANCHEL;1;
182479;TRES;ENVASES;CARABANCHEL;1;
182482;TRES;ENVASES;VILLAVERDE;1;
182488;TRES;ENVASES;PUENTE DE VALLECAS;1;
182489;TRES;ENVASES;CARABANCHEL;1;
182493;TRES;ENVASES;ARGANZUELA;1;
182494;TRES;ENVASES;ARGANZUELA;1;
180104;TRES;ENVASES;PUENTE DE VALLECAS;1;
180105;TRES;ENVASES;PUENTE DE VALLECAS;1;
258217;TRES;ENVASES;CARABANCHEL;1;
182497;TRES;ENVASES;PUENTE DE VALLECAS;1;
182498;TRES;ENVASES;PUENTE DE VALLECAS;1;
182499;TRES;ENVASES;VILLA DE VALLECAS;1;
179596;TRES;ENVASES;VILLA DE VALLECAS;1;
182501;TRES;ENVASES;VILLA DE VALLECAS;1;
182500;TRES;ENVASES;VILLA DE VALLECAS;1;
182503;TRES;ENVASES;USERA;1;
181646;TRES;ENVASES;USERA;1;
181647;TRES;ENVASES;USERA;1;
181648;TRES;ENVASES;USERA;1;
182504;TRES;ENVASES;VILLA DE VALLECAS;1;
182505;TRES;ENVASES;VILLA DE VALLECAS;1;
182506;TRES;ENVASES;VILLA DE VALLECAS;1;
180106;TRES;ENVASES;PUENTE DE VALLECAS;1;
182507;TRES;ENVASES;VILLA DE VALLECAS;1;
182509;TRES;ENVASES;VILLA DE VALLECAS;1;
182510;TRES;ENVASES;VILLA DE VALLECAS;1;
182981;TRES;ENVASES;ARGANZUELA;1;
182982;TRES;ENVASES;ARGANZUELA;1;
182983;TRES;ENVASES;ARGANZUELA;1;
180597;TRES;ENVASES;VILLAVERDE;1;
180598;TRES;ENVASES;VILLAVERDE;1;
180599;TRES;ENVASES;VILLAVERDE;1;
182985;TRES;ENVASES;ARGANZUELA;1;
182986;TRES;ENVASES;ARGANZUELA;1;
182987;TRES;ENVASES;VILLAVERDE;1;
181612;TRES;ENVASES;VILLAVERDE;1;
181613;TRES;ENVASES;VILLAVERDE;1;
182991;TRES;ENVASES;CARABANCHEL;1;
182993;TRES;ENVASES;ARGANZUELA;1;
180521;TRES;ENVASES;PUENTE DE VALLECAS;1;
178920;TRES;RESTO;CARABANCHEL;1;
178926;TRES;RESTO;PUENTE DE VALLECAS;1;
178945;TRES;RESTO;VILLA DE VALLECAS;1;
178919;TRES;RESTO;CARABANCHEL;1;
258271;TRES;RESTO;USERA;1;
178959;TRES;RESTO;CARABANCHEL;1;
178967;TRES;RESTO;VILLAVERDE;1;
178973;TRES;RESTO;PUENTE DE VALLECAS;1;
179018;TRES;RESTO;VILLAVERDE;1;
183911;TRES;ENVASES;VILLAVERDE;1;
183911;TRES;ORGANICA;VILLAVERDE;1;
179028;TRES;RESTO;VILLAVERDE;1;
179031;TRES;RESTO;VILLAVERDE;1;
179069;TRES;RESTO;CARABANCHEL;1;
179075;TRES;RESTO;CARABANCHEL;1;
178920;TRES;ENVASES;CARABANCHEL;1;
178926;TRES;ENVASES;PUENTE DE VALLECAS;1;
178919;TRES;ENVASES;CARABANCHEL;1;
178954;TRES;ENVASES;PUENTE DE VALLECAS;1;
178959;TRES;ENVASES;CARABANCHEL;1;
178967;TRES;ENVASES;VILLAVERDE;1;
178973;TRES;ENVASES;PUENTE DE VALLECAS;1;
178986;TRES;ENVASES;USERA;1;
179018;TRES;ENVASES;VILLAVERDE;1;
179028;TRES;ENVASES;VILLAVERDE;1;
179031;TRES;ENVASES;VILLAVERDE;1;
179046;TRES;ENVASES;PUENTE DE VALLECAS;1;
179069;TRES;ENVASES;CARABANCHEL;1;
179075;TRES;ENVASES;CARABANCHEL;1;
179087;TRES;ENVASES;VILLAVERDE;1;
179095;TRES;ENVASES;CARABANCHEL;1;
179047;TRES;ENVASES;PUENTE DE VALLECAS;1;
179112;TRES;ENVASES;PUENTE DE VALLECAS;1;
179117;TRES;ENVASES;CARABANCHEL;1;
179120;TRES;ENVASES;PUENTE DE VALLECAS;1;
179128;TRES;ENVASES;VILLAVERDE;1;
179130;TRES;ENVASES;CARABANCHEL;1;
179136;TRES;ENVASES;CARABANCHEL;1;
179151;TRES;ENVASES;CARABANCHEL;1;
179160;TRES;ENVASES;PUENTE DE VALLECAS;1;
179161;TRES;ENVASES;PUENTE DE VALLECAS;1;
179191;TRES;ENVASES;CARABANCHEL;1;
179205;TRES;ENVASES;CARABANCHEL;1;
179225;TRES;ENVASES;CARABANCHEL;1;
179226;TRES;ENVASES;CARABANCHEL;1;
179241;TRES;ENVASES;CARABANCHEL;1;
178987;TRES;ENVASES;CARABANCHEL;1;
179048;TRES;ENVASES;PUENTE DE VALLECAS;1;
178960;TRES;ENVASES;CARABANCHEL;1;
179242;TRES;ENVASES;CARABANCHEL;1;
179131;TRES;ENVASES;CARABANCHEL;1;
178921;TRES;ENVASES;CARABANCHEL;1;
179118;TRES;ENVASES;CARABANCHEL;1;
179192;TRES;ENVASES;CARABANCHEL;1;
178896;TRES;ENVASES;VILLAVERDE;1;
178927;TRES;ENVASES;PUENTE DE VALLECAS;1;
178988;TRES;ENVASES;CARABANCHEL;1;
179243;TRES;ENVASES;CARABANCHEL;1;
178989;TRES;ENVASES;CARABANCHEL;1;
178990;TRES;ENVASES;CARABANCHEL;1;
179206;TRES;ENVASES;CARABANCHEL;1;
179207;TRES;ENVASES;CARABANCHEL;1;
179244;TRES;ENVASES;USERA;1;
178928;TRES;ENVASES;PUENTE DE VALLECAS;1;
179152;TRES;ENVASES;CARABANCHEL;1;
179129;TRES;ENVASES;VILLAVERDE;1;
179119;TRES;ENVASES;CARABANCHEL;1;
179049;TRES;ENVASES;PUENTE DE VALLECAS;1;
179162;TRES;ENVASES;PUENTE DE VALLECAS;1;
179153;TRES;ENVASES;CARABANCHEL;1;
179154;TRES;ENVASES;CARABANCHEL;1;
179272;TRES;ENVASES;PUENTE DE VALLECAS;1;
179271;TRES;ENVASES;PUENTE DE VALLECAS;1;
179273;TRES;ENVASES;PUENTE DE VALLECAS;1;
179274;TRES;ENVASES;PUENTE DE VALLECAS;1;
179050;TRES;ENVASES;PUENTE DE VALLECAS;1;
178929;TRES;ENVASES;PUENTE DE VALLECAS;1;
179208;TRES;ENVASES;CARABANCHEL;1;
179275;TRES;ENVASES;PUENTE DE VALLECAS;1;
179051;TRES;ENVASES;PUENTE DE VALLECAS;1;
179276;TRES;ENVASES;PUENTE DE VALLECAS;1;
179277;TRES;ENVASES;PUENTE DE VALLECAS;1;
178930;TRES;ENVASES;PUENTE DE VALLECAS;1;
178955;TRES;ENVASES;PUENTE DE VALLECAS;1;
178974;TRES;ENVASES;PUENTE DE VALLECAS;1;
179105;TRES;ENVASES;PUENTE DE VALLECAS;1;
179077;TRES;ENVASES;CARABANCHEL;1;
