year;month;residuo;lote;nombreDistrito;toneladas
2021;enero;RESTO;UNO;Centro;3477.92
2021;enero;RESTO;UNO;Tetuán;2701.32
2021;enero;RESTO;UNO;Chamberí;2403.34
2021;enero;RESTO;UNO;Fuencarral - El Pardo;4017.66
2021;enero;RESTO;UNO;Moncloa - Aravaca;2873.78
2021;enero;RESTO;UNO;Latina;4140.12
2021;enero;ENVASES;UNO;Centro;189.1
2021;enero;ENVASES;UNO;Tetuán;255.4
2021;enero;ENVASES;UNO;Chamberí;212.94
2021;enero;ENVASES;UNO;Fuencarral - El Pardo;511.12
2021;enero;ENVASES;UNO;Moncloa - Aravaca;231.74
2021;enero;ENVASES;UNO;Latina;388.32
2021;enero;VIDRIO;UNO;Centro;485.1
2021;enero;VIDRIO;UNO;Tetuán;225.56
2021;enero;VIDRIO;UNO;Chamberí;225.28
2021;enero;VIDRIO;UNO;Fuencarral - El Pardo;440.3
2021;enero;VIDRIO;UNO;Moncloa - Aravaca;207.18
2021;enero;VIDRIO;UNO;Latina;223.04
2021;enero;VIDRIO_COMERCIAL;UNO;Centro;20.08
2021;enero;ENVASES;UNO;Centro;142.62
2021;enero;ENVASES;UNO;Tetuán;12.92
2021;enero;ENVASES;UNO;Fuencarral - El Pardo;271.96
2021;enero;ENVASES;UNO;Moncloa - Aravaca;210.3
2021;enero;ENVASES;UNO;Latina;21.74
2021;enero;ORGANICA;UNO;Centro;399.22
2021;enero;ORGANICA;UNO;Tetuán;538.04
2021;enero;ORGANICA;UNO;Chamberí;523.76
2021;enero;ORGANICA;UNO;Fuencarral - El Pardo;1013.38
2021;enero;ORGANICA;UNO;Moncloa - Aravaca;618.82
2021;enero;ORGANICA;UNO;Latina;838.08
2021;enero;ENVASES;UNO;Centro;320.59
2021;enero;ENVASES;UNO;Tetuán;315.24
2021;enero;ENVASES;UNO;Chamberí;268.95
2021;enero;ENVASES;UNO;Fuencarral - El Pardo;582.79
2021;enero;ENVASES;UNO;Moncloa - Aravaca;252.85
2021;enero;ENVASES;UNO;Latina;317.05
2021;enero;CARTON_COMERCIAL;UNO;Centro;94.32
2021;enero;CARTON_COMERCIAL;UNO;Tetuán;56.2
2021;enero;CARTON_COMERCIAL;UNO;Chamberí;62.2
2021;enero;CARTON_COMERCIAL;UNO;Fuencarral - El Pardo;1.6
2021;enero;CARTON_COMERCIAL;UNO;Moncloa - Aravaca;1.68
2021;enero;CARTON_COMERCIAL;UNO;Latina;3.38
2021;enero;RCD;UNO;Centro;56.795
2021;enero;RCD;UNO;Tetuán;33.08
2021;enero;RCD;UNO;Chamberí;34.83
2021;enero;RCD;UNO;Fuencarral - El Pardo;59.325
2021;enero;RCD;UNO;Moncloa - Aravaca;180.275
2021;enero;RCD;UNO;Latina;51.44
2021;enero;PUNTOS_LIMPIOS;UNO;Fuencarral - El Pardo;92.68
2021;enero;PUNTOS_LIMPIOS;UNO;Moncloa - Aravaca;170.6
2021;enero;PUNTOS_LIMPIOS;UNO;Latina;146.08
2021;enero;ENVASES;UNO;Latina;0.18
2021;enero;CAMA_CABALLO;UNO;Moncloa - Aravaca;54.45
2021;enero;RESTO;DOS;Retiro;1816.36
2021;enero;RESTO;DOS;Salamanca;2642.92
2021;enero;RESTO;DOS;Chamartín;2513.56
2021;enero;RESTO;DOS;Moratalaz;1461.0
2021;enero;RESTO;DOS;Ciudad Lineal;3582.04
2021;enero;RESTO;DOS;Hortaleza;3416.4
2021;enero;RESTO;DOS;Vicálvaro;1877.86
2021;enero;RESTO;DOS;San Blas - Canillejas;2696.5
2021;enero;RESTO;DOS;Barajas;958.86
2021;enero;ENVASES;DOS;Retiro;171.0
2021;enero;ENVASES;DOS;Salamanca;198.58
2021;enero;ENVASES;DOS;Chamartín;212.5
2021;enero;ENVASES;DOS;Moratalaz;196.9
2021;enero;ENVASES;DOS;Ciudad Lineal;429.3
2021;enero;ENVASES;DOS;Hortaleza;383.36
2021;enero;ENVASES;DOS;Vicálvaro;146.9
2021;enero;ENVASES;DOS;San Blas - Canillejas;315.58
2021;enero;ENVASES;DOS;Barajas;113.24
2021;enero;VIDRIO;DOS;Retiro;324.34
2021;enero;VIDRIO;DOS;Salamanca;214.58
2021;enero;VIDRIO;DOS;Chamartín;299.5
2021;enero;VIDRIO;DOS;Moratalaz;248.26
2021;enero;VIDRIO;DOS;Ciudad Lineal;153.1
2021;enero;VIDRIO;DOS;Hortaleza;179.86
2021;enero;VIDRIO;DOS;Vicálvaro;139.52
2021;enero;VIDRIO;DOS;San Blas - Canillejas;154.5
2021;enero;VIDRIO;DOS;Barajas;152.16
2021;enero;VIDRIO_COMERCIAL;DOS;Salamanca;26.96
2021;enero;ENVASES;DOS;Retiro;176.66
2021;enero;ENVASES;DOS;Salamanca;96.56
2021;enero;ENVASES;DOS;Ciudad Lineal;95.54
2021;enero;ORGANICA;DOS;Retiro;413.8
2021;enero;ORGANICA;DOS;Salamanca;460.6
2021;enero;ORGANICA;DOS;Chamartín;528.88
2021;enero;ORGANICA;DOS;Moratalaz;320.26
2021;enero;ORGANICA;DOS;Ciudad Lineal;756.36
2021;enero;ORGANICA;DOS;Hortaleza;645.8
2021;enero;ORGANICA;DOS;Vicálvaro;109.64
2021;enero;ORGANICA;DOS;San Blas - Canillejas;519.98
2021;enero;ORGANICA;DOS;Barajas;144.46
2021;enero;ENVASES;DOS;Retiro;271.8
2021;enero;ENVASES;DOS;Salamanca;370.97
2021;enero;ENVASES;DOS;Chamartín;232.25
2021;enero;ENVASES;DOS;Moratalaz;115.6
2021;enero;ENVASES;DOS;Ciudad Lineal;349.53
2021;enero;ENVASES;DOS;Hortaleza;256.97
2021;enero;ENVASES;DOS;Vicálvaro;50.79
2021;enero;ENVASES;DOS;San Blas - Canillejas;296.79
2021;enero;ENVASES;DOS;Barajas;55.15
2021;enero;CARTON_COMERCIAL;DOS;Retiro;64.67
2021;enero;CARTON_COMERCIAL;DOS;Salamanca;140.64
2021;enero;CARTON_COMERCIAL;DOS;Chamartín;26.25
2021;enero;CARTON_COMERCIAL;DOS;Ciudad Lineal;30.06
2021;enero;CARTON_COMERCIAL;DOS;Hortaleza;20.03
2021;enero;CARTON_COMERCIAL;DOS;Vicálvaro;2.3
2021;enero;CARTON_COMERCIAL;DOS;San Blas - Canillejas;26.29
2021;enero;RCD;DOS;Retiro;12.325
2021;enero;RCD;DOS;Salamanca;9.845
2021;enero;RCD;DOS;Chamartín;38.005
2021;enero;RCD;DOS;Moratalaz;21.285
2021;enero;RCD;DOS;Ciudad Lineal;34.14
2021;enero;RCD;DOS;Hortaleza;23.4
2021;enero;RCD;DOS;Vicálvaro;17.66
2021;enero;RCD;DOS;San Blas - Canillejas;9.28
2021;enero;RCD;DOS;Barajas;9.54
2021;enero;PUNTOS_LIMPIOS;DOS;Retiro;4.6
2021;enero;PUNTOS_LIMPIOS;DOS;Chamartín;93.46
2021;enero;PUNTOS_LIMPIOS;DOS;Moratalaz;30.4
2021;enero;PUNTOS_LIMPIOS;DOS;Ciudad Lineal;50.02
2021;enero;PUNTOS_LIMPIOS;DOS;Hortaleza;50.92
2021;enero;PUNTOS_LIMPIOS;DOS;Vicálvaro;25.54
2021;enero;PUNTOS_LIMPIOS;DOS;San Blas - Canillejas;47.22
2021;enero;PUNTOS_LIMPIOS;DOS;Barajas;24.98
2021;enero;ENVASES;DOS;Moratalaz;0.18
2021;enero;ENVASES;DOS;Vicálvaro;0.18
2021;enero;RESTO;TRES;Arganzuela;2193.0
2021;enero;RESTO;TRES;Carabanchel;5138.92
2021;enero;RESTO;TRES;Usera;2296.4
2021;enero;RESTO;TRES;Puente de Vallecas;4224.24
2021;enero;RESTO;TRES;Villaverde;2824.74
2021;enero;RESTO;TRES;Villa de Vallecas;4646.04
2021;enero;ENVASES;TRES;Arganzuela;201.88
2021;enero;ENVASES;TRES;Carabanchel;459.14
2021;enero;ENVASES;TRES;Usera;233.36
2021;enero;ENVASES;TRES;Puente de Vallecas;818.96
2021;enero;ENVASES;TRES;Villaverde;342.16
2021;enero;ENVASES;TRES;Villa de Vallecas;206.54
2021;enero;VIDRIO;TRES;Arganzuela;326.92
2021;enero;VIDRIO;TRES;Carabanchel;331.54
2021;enero;VIDRIO;TRES;Usera;139.22
